"","SRR8207881","SRR8207882","SRR8207883","SRR8207884","SRR8207885","SRR8207886","SRR8207887","SRR8207888","SRR8207889","SRR8207890"
"MNAT1",8.40393509423612,8.89868928013373,8.95403484839066,8.08620349777889,7.26081718732267,7.03909950811864,6.85706485689843,7.6719659621297,7.82344518560167,7.12415009327495
"PLEKHB1",8.28374221039126,8.71456072554019,9.44509355197075,7.81822970447513,8.76821347036976,7.10316646475059,8.16085682751602,7.82324074427368,7.40512532584516,7.13291715483529
"CYP3A43",3.91870815650966,3.0627542887002,3.48823945754563,3.0627542887002,4.00202213561611,4.56755410548064,4.10454744466374,3.5306162755024,4.56583155466254,5.32555478555839
"CPS1",7.15696786121791,5.28331093932908,6.80691387345386,6.84623186565984,7.37043066289071,7.74346031649617,7.93343570307738,7.64453961518724,7.689412117834,8.10606917748616
"RNH1",11.3908263199928,12.0366641040534,11.1903560426954,12.1186711817275,11.2995046223109,10.5224824410174,10.0313631383525,10.2563186359911,10.0727613449546,9.83210204120775
"BIRC3",12.3375202184538,12.4670967442087,12.4533077503334,12.4330328058591,11.6828593259402,10.6530996088647,11.3017279577419,11.2730658001872,11.6555322701295,11.2727442464163
"DEPDC1",4.57029647250569,5.25828640619345,6.41279660432204,5.30349568921514,5.65725190781144,3.8491184471561,4.68485949631355,4.40705668402444,4.23710853880927,3.99379545965045
"TYMP",11.8785254127326,12.9384783414041,12.1408827282209,14.1416306810732,12.6725095105691,12.8930194731207,11.1889460099354,11.1141995193006,10.5422867386326,11.8882836146683
"AGPAT4",9.14117588894186,8.84403490612719,8.26511109173282,8.96738882909118,9.27222629067152,10.0427403204588,10.0429474138317,10.5740048921596,10.0803382476827,10.1419257041424
"PRKCH",11.8941431421077,11.3634825571276,11.4966056808058,10.7124500827837,11.4950911396153,12.0623456915239,12.8338842661503,12.7228276376946,13.0807165752798,12.5317703617773
"VRK2",9.62630473614425,10.3266381350241,9.53962068429381,10.4440819403199,9.20776198391468,8.40774882457509,8.19591867712098,8.37413924796349,8.45052385606333,8.9060230767543
"TBPL1",8.95722839981071,9.39284463207802,9.30268402384314,9.39928922503047,9.07304450427896,7.93367369085224,8.24505931477101,8.24580657978012,8.46631062594946,8.25835513344326
"BAK1",9.41959076133078,10.8286032270822,9.73943840460983,10.8910253641612,9.51471505643518,9.64946646960716,8.38613442515699,9.26947937436438,8.83487347482551,8.65752357237911
"GRN",13.6984656330073,13.6286578427357,12.9412527303837,14.5799078723993,14.0187201765046,13.6148888446926,12.5947397722109,12.5472236701619,12.3301787907769,12.5915291659816
"CENPQ",6.46716655733542,7.24966674560125,6.38015636971161,7.144091003526,5.66994482181204,4.30146428783206,4.50406209993616,5.24863107983586,5.23125967860723,5.20323101877042
"ALG1",9.35093108661774,9.78999953147332,8.89852339287222,9.70353981817931,8.48557784184799,8.29239057923493,8.22938158863179,8.39281560242537,8.39826330403953,8.13011289019173
"PEX3",8.35452926789087,8.23752369456642,8.22847542602985,8.0035987742182,8.21180131149142,6.47908417153513,6.7793375286636,7.17458424455181,7.23748488365371,7.37960365045888
